common_name	kingdom	phylum	class	order	family	genus	specific_epithet
American Idia	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Idia	americalis
Glossy Black Idia	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Idia	lubricalis
Rotund Idia Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Idia	rotundalis
Thin-lined Owlet	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Isogona	tenuis
Ambiguous Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lascoria	ambigualis
Beautiful Hook-tip	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Laspeyria	flexula
White Satin Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Leucoma	salicis
Four-spotted Footman	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lithosia	quadra
Santa Ana Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lophocampa	annulosa
Silver-spotted Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lophocampa	argentata
Hickory Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lophocampa	caryae
Spotted Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lophocampa	maculata
Black-and-yellow Lichen Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lycomorpha	pholus
Gypsy Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lymantria	dispar
Black Arches	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Lymantria	monacha
Royal Poinciana Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Melipotis	acontioides
Cellar Melipotis	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Melipotis	cellaris
Indomitable Melipotis	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Melipotis	indomita
Merry Melipotis	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Melipotis	jucunda
Common Fungus Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Metalectra	discalis
Live Oak Metria Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Metria	amella
The Rosy Footman	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Miltochrista	miniata
Sugarcane Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Mocis	frugalis
Small Mocis Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Mocis	latipes
Withered Mocis	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Mocis	marcida
Thin-winged Owlet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Nigetia	formosalis
Nyctemera adversata	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Nyctemera	adversata
Senecio Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Nyctemera	amicus
New Zealand Magpie Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Nyctemera	annulata
Magpie Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Nyctemera	baulus
Vapourer	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	antiqua
Definite Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	definita
Fir Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	detrita
White-marked Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	leucostigma
Cocoa Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	postica
Western Tussock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	vetusta
Orvasca subnotata	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orvasca	subnotata
Dark-spotted Palthis	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Palthis	angulalis
Faint-spotted Palthis Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Palthis	asopialis
Decorated Owlet	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Pangrapta	decoralis
Brown Panopoda Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Panopoda	carneicosta
Red-lined Panopoda	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Panopoda	rufimargo
Pantydia sparsa	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Pantydia	sparsa
Maple Looper Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Parallelia	bistriaris
Yellow-winged Pareuchaetes	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Pareuchaetes	insulata
Banyan tussock moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Perina	nuda
Dark-banded Owlet	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Phalaenophana	pyramusalis
Black-banded Owlet	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Phalaenostola	larentioides
Philenora aspectalella	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Philenora	aspectalella
Common Oak Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Phoberia	atomaris
Ruby Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Phragmatobia	fuliginosa
Curve-lined Owlet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Phyprosopus	callitrichoides
Moonseed Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Plusiodonta	compressipalpis
Isabella Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Pyrrharctia	isabella
Yellow-spotted Renia	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Renia	flavipunctalis
Slender owlet moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Rhapsa	scotosialis
Spotted Grass Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Rivula	propinqualis
Straw Dot	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Rivula	sericealis
Deadwood Borer Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Scolecocampa	liburna
The Herald	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Scoliopteryx	libatrix
Pale-edged Selenisa	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Selenisa	sueroides
Swan Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Sphrageidus	similis
Agreeable Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Spilosoma	congrua
Crimson Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Spilosoma	curvata
White Ermine	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Spilosoma	lubricipeda
Buff Ermine	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Spilosoma	lutea
Virginian Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Spilosoma	virginica
Polka-Dot Wasp Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Syntomeida	epilais
Handmaiden Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Syntomoides	imaon
Smoky Tetanolita	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Tetanolita	mynesalis
Triangles	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Trigonodes	hyppasia
Cinnabar moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Tyria	jacobaeae
Ornate Bella Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Utetheisa	ornatrix
Crimson-speckled Flunkey	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Utetheisa	pulchella
Orange Virbia	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Virbia	aurantiaca
Joyful Holomelina	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Virbia	laeta
Horrid Zale	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Zale	horrida
Lunate Zale Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Zale	lunata
Colorful Zale Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Zale	minerea
Variable Zanclognatha	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Zanclognatha	laevigata
Grayish Fan-foot	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Zanclognatha	pedipilalis
Dark Marathyssa Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Euteliidae	Marathyssa	inficita
Large Paectes Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Euteliidae	Paectes	abrostoloides
Eyed Paectes Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Euteliidae	Paectes	oculatrix
Black-smudged Chionodes Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Chionodes	mediofuscella
Cream-edged Dichomeris Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Dichomeris	flavocostella
Red-necked Peanutworm Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Stegasta	bosqueella
Clouded Magpie	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Abraxas	sylvata
Mottled Beauty	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Alcis	repandata
Fall Cankerworm Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Alsophila	pometaria
Common Gray	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Anavitrinella	pampinaria
Variable Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Anticlea	vasiliata
St. John's Wort Inchworm	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Aplocera	plagiata
Pink Arhodia	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Arhodia	lasiocamparia
Oak Besma	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Besma	quercivoraria
Pepper-and-salt Geometer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Biston	betularia
Yellow-dusted Cream	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cabera	erythemaria
Common White Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cabera	pusaria
Light Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Campaea	margaritaria
Pale Beauty	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Campaea	perlata
Yellow Shell Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Camptogramma	bilineata
Gray Spruce Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Caripeta	divisata
Northern Pine Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Caripeta	piniata
Latticed Heath	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chiasmia	clathrata
Chiasmia emersaria	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chiasmia	emersaria
Bicolored Chloraspilates Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chloraspilates	bicoloraria
Blackberry Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chlorochlamys	chloroleucaria
Red-green Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chloroclysta	siterata
Australian Pug Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chloroclystis	filata
Chloroclystis inductata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chloroclystis	inductata
Chain-dotted Geometer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cingilia	catenaria
Broken Leaf Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Circopetes	obtusata
The Scribbler	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cladara	atroliturata
Mottled Gray Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cladara	limitaria
Green Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Colostygia	pectinataria
Feathered Thorn	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Colotois	pennaria
Comostola laesaria	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Comostola	laesaria
Barberry Geometer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Coryphista	meadii
Bent-line Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Costaconvexa	centrostrigaria
Scalloped Oak	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Crocallis	elinguaria
Red-lined Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Crypsiphona	ocultaria
Clay Triple-Lines	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cyclophora	linearia
Dwarf Tawny Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cyclophora	nanaria
Packard's Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cyclophora	packardi
Sweetfern Geometer Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Cyclophora	pendulinaria
Forest Semilooper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Declana	floccosa
Showy Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Dichorda	iridaria
Didymoctenia exsuperata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Didymoctenia	exsuperata
Broad-lined Angle	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Digrammia	atrofasciata
Curve-lined Angle	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Digrammia	continuata
Hollow-spotted Angle	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Digrammia	gnophosaria
Faint-spotted Angle	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Digrammia	ocellinata
Somber Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Disclisioprocta	stellata
False Tiger Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Dysphania	militaris
The Bad-wing	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Dyspteris	abortivaria
Northern Marbled Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Dysstroma	citrata
Orange-barred Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Dysstroma	hersiliata
Marbled Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Dysstroma	truncata
Small Phoenix	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ecliptopera	silaceata
Small Engrailed	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ectropis	crepuscularia
Common Heath	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ematurga	atomaria
Maple Spanworm	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennomos	magnaria
Elm Spanworm	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennomos	subsignaria
Epidesmia tryxaria	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Epidesmia	tryxaria
Tulip-tree Beauty	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Epimecis	hortaria
Common Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Epirrhoe	alternata
Autumnal Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Epirrita	autumnata
New Zealand Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Epyaxa	rosearia
Mottled Umber	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Erannis	defoliaria
The Beggar	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Eubaphe	mendica
Deep Yellow Euchlaena	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Euchlaena	amoenaria
Saw-wing	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Euchlaena	serrata
White Eulithis Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Eulithis	explanata
Sharp-angled Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Euphyia	intermediata
Common Eupithecia	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Eupithecia	miserulata
Confused Eusarca	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Eusarca	confusaria
Curve-toothed Geometer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Eutrapela	clemataria
Green Broomweed Looper Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Fernaldella	fimetaria
Waved-lined Geometrid	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Gastrina	cristaria
Large Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Geometra	papilionaria
Five-lined Gray	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Glena	quinquelinearia
Texas Gray Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Glenoides	texanaria
Double-striped Pug	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Gymnoscelis	rufifasciata
Chickweed Geometer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Haematopis	grataria
Common Spring Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Heliomata	cycladata
Common Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Hemithea	aestivaria
Three-spotted Fillip	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Heterophleps	triguttaria
Pistachio Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Hethemia	pistasciaria
Brown Bark Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Horisme	intestinata
One-spotted Variant	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Hypagyrtis	unipunctata
Pale Oak Beauty	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Hypomecis	punctinalis
Black Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Hyposidra	talaca
Riband Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	aversata
Small Fan-footed Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	biselata
Portland Ribbon Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	degeneraria
Red-bordered Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	demissaria
Single-dotted Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	dimidiata
Least Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	rusticata
Small Dusty Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	seriata
Dot-lined Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idaea	tacturata
Idiodes apicata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Idiodes	apicata
Black-dotted Ruddy Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ilexia	intractata
Brown-shaded Gray Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Iridopsis	defectaria
Bent-line Gray	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Iridopsis	larvaria
Pale-veined Isturgia	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Isturgia	dislocaria
Hemlock Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lambdina	fiscellaria
Pannaria Wave Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Leptostales	pannaria
Scorched Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ligdia	adustata
Drab Brown Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lobocleta	ossularia
Powdered Bigwing Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lobophora	nivigerata
Clouded Border	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lomaspilis	marginata
Gray Spring Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lomographa	glomeraria
White Spring Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lomographa	vestaliata
Common Lytrosis	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Lytrosis	unitaria
Common Angle Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Macaria	aemulataria
Sharp-angled Peacock Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Macaria	alternata
Red-headed Inchworm Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Macaria	bisignata
Tawny-barred Angle Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Macaria	liturata
Lesser Maple Spanworm Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Macaria	pustularia
White-tipped Black	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Melanchroia	chephise
Black Geometrid	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Melanodes	anthracitaria
Canadian Melanolophia Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Melanolophia	canadaria
Western Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Melanolophia	imitata
Orange Wing	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Mellilla	xanthometata
White-ribboned Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Mesoleuca	ruficillata
Pale Metanema	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Metanema	inatomaria
Milionia zonea	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Milionia	zonea
Horned Spanworm Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Nematocampa	resistaria
Red-fringed Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Nemoria	bistriaria
Red-bordered Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Nemoria	lixaria
White-fringed Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Nemoria	mimosaria
Brown-lined Looper Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Neoalcis	californiaria
False Hemlock Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Nepytia	canosaria
Orange Magpie Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Obeidia	tigrata
Chimney-sweeper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Odezia	atrata
Bruce Spanworm	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Operophtera	bruceata
Winter Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Operophtera	brumata
Brimstone Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Opisthograptis	luteolata
The Gem	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Orthonama	obstipata
Swallow-tailed Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Ourapteryx	sambucaria
Spring Cankerworm Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Paleacrita	vernata
Green Pug	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Pasiphila	rectangulata
Juniper-twig Geometer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Patalene	olyzonaria
Willow Beauty	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Peribatodes	rhomboidaria
Small Rivulet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Perizoma	alchemillata
Oak Beauty	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Phaeoura	quernaria
Small Phigalia Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Phigalia	strigataria
Half-Wing	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Phigalia	titea
Sinister Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Pholodes	sinistraria
Apple Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Phrissogonus	laticostata
Hollow-spotted Plagodis Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Plagodis	alcoolaria
Straight-lined Plagodis	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Plagodis	phlogosaria
Barred Umber	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Plagodis	pulveraria
Lemon Plagodis	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Plagodis	serinaria
Common Tan Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Pleuroprucha	insulsaria
Common Gum Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Prasinocyma	semicrocea
Alien Probole Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Probole	amicaria
Large Maple Spanworm	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Prochoerodes	lineola
Porcelain Gray	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Protoboarmia	porcelaria
Dot-lined Angle	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Psamatodes	abydata
Common Forest Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Pseudocoremia	suavis
Speckled Yellow	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Pseudopanthera	macularia
Vestal	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Rhodometra	sacraria
Omnivorous Looper	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Sabulodes	aegrotata
Lewes Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Scopula	immorata
Large Lace Border Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Scopula	limboundata
Plantain moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Scopula	rubraria
Shaded Broad-bar	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Scotopteryx	chenopodiata
Sharp-lined Yellow	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Sicya	macularia
Insigillated Pug	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Sigilliclystis	insigillata
Black-veined Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Siona	lineata
Wavy-lined Emerald	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Synchlora	aerata
Southern Emerald Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Synchlora	frondaria
White Slant-line	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Tetracis	cachexiata
Yellow Slant-line	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Tetracis	crocallata
Cross-lined Wave	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Timandra	amaturaria
Blood Vein	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Timandra	comae
Cross-line Wave Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Traminda	aventiaria
White-striped Black Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Trichodezia	albovittata
Tissue Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Triphosa	haesitata
Dark-barred Twin-spot Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Xanthorhoe	ferrugata
Garden Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Xanthorhoe	fluctuata
Toothed Brown Carpet Moth	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Xanthorhoe	lacustrata
Silver-ground Carpet	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Xanthorhoe	montanata
